Average electricity cost assumption: 0.05 USD/kWh,,,
Date,Lower bound cost of minting USD,Estimated cost of minting USD,Upper bound cost of minting USD
2024-12-04,25693.04864462629,46516.006305032475,97903.62175979577
2024-12-05,25757.39998558479,46492.326011562785,98151.15438026711
2024-12-06,25808.568284115223,46607.94145744106,98807.98504166398
2024-12-07,25791.7306624082,46601.02210264833,99209.9711096073
2024-12-08,25884.428173148823,46768.509845267334,99566.53955718005
2024-12-09,25974.909694773065,46931.99369380327,99914.58402398192
2024-12-10,25967.187759842367,46918.041545144035,99884.88097879224
2024-12-11,25904.85908318762,46805.42482793204,99645.1286996158
2024-12-12,25861.837777091558,46727.693059462945,99479.64377769435
2024-12-13,25894.1193320589,46786.0200277549,99603.81738114901
2024-12-14,25953.26504544773,46892.885702376996,99831.32613553884
2024-12-15,25993.75811996106,46966.04941074149,99987.08601087215
2024-12-16,26166.605147516213,47278.35292603894,100651.95603586517
2024-12-17,26344.25367802989,47599.331894272225,101335.2954290457
2024-12-18,26555.87096794198,47981.68630598563,102149.29839353354
2024-12-19,26689.76193162985,48223.603214929535,102664.3207785444
2024-12-20,26837.501778953858,48490.54256772848,103232.61401084445
2024-12-21,27004.95851277009,48793.10679096541,103876.74983644966
2024-12-22,27190.74752267265,49128.79414247446,104591.40223981788
2024-12-23,27201.053155352547,49147.41456863289,104631.04368667623
2024-12-24,27226.752157437095,49074.78736758501,104236.44310011898
2024-12-25,27279.055769050156,49049.424840450876,103940.84261213355
2024-12-26,27394.40153993019,49138.28369744846,103889.04661259252
2024-12-27,27463.880782631117,49143.674912545284,103658.35501938187
2024-12-28,27506.736745334932,49023.60201609137,102069.41450917757
2024-12-29,27524.905920734946,48858.8999014796,100385.29557390566
2024-12-30,27614.880298121825,48821.9455663446,98959.69888760496
2024-12-31,27691.67748616871,48880.471325637605,97978.89554282035
2025-01-01,27309.64699775104,48704.707387407,96959.08340861612
2025-01-02,26937.06474701504,48545.5976045331,95974.31906304088
2025-01-03,26535.07321976337,48332.85047142502,94879.02654438114
2025-01-04,26130.182858415148,48192.50486892915,95028.39050860638
2025-01-05,25728.017463133892,48057.46463083714,95188.41235593062
2025-01-06,25271.891769393318,47825.351562902215,95158.7408752989
2025-01-07,24816.050728334034,47593.04928848995,95128.19445861378
2025-01-08,24785.751895356578,47534.94117664469,95012.0489322002
2025-01-09,24770.625741885306,47505.93173531237,94954.06534389367
2025-01-10,24763.983508372854,47493.193038474405,94928.60344876259
2025-01-11,24764.055724999303,47493.33153792783,94928.88027916399
2025-01-12,24779.284383376787,47522.53756658611,94987.25680294434
2025-01-13,24789.9056625524,47542.90740983175,95027.97170645087
2025-01-14,24824.25855874664,47608.790539249596,95159.65780852878
2025-01-15,24852.158361865684,47662.297711664745,95266.60705381846
2025-01-16,24859.97857235662,47677.29557201794,95296.58452736704
2025-01-17,24870.72946322639,47697.913988891014,95337.79627570117
2025-01-18,24884.71413528798,47724.73425912647,95391.40418527059
2025-01-19,24885.55691312366,47726.35056655232,95394.6348336407
2025-01-20,24859.216815628337,47675.83464957255,95293.66445990863
2025-01-21,24822.957150723,47606.2946555616,95154.66907777151
2025-01-22,24826.74009687639,47613.54971579276,95169.17037135949
2025-01-23,24838.290605999104,47635.70166720528,95213.44732299657
2025-01-24,24850.399480331846,47658.924470029764,95259.86467460543
2025-01-25,24858.3688759007,47674.20844249823,95290.41402428604
2025-01-26,24871.248775959655,47698.9099441613,95339.78697451203
2025-01-27,24855.866607329455,47669.409508423334,95280.82199476291
2025-01-28,24826.897656027628,47613.85188798498,95169.7743481059
2025-01-29,24775.047050845158,47590.2801881448,96225.01517475958
2025-01-30,24716.37098460715,47553.5127430552,97252.34552419072
2025-01-31,24648.40464912047,47498.772613511705,98241.49305494425
2025-02-01,24589.231308418402,47381.193712577275,99270.47013901945
2025-02-02,24517.966689109635,47240.42802773123,100252.40006944835
2025-02-03,24505.787524758514,47212.99600010254,101455.42527673815
2025-02-04,24498.157639683574,47118.26038218526,101426.17738395087
2025-02-05,24490.712902100866,46947.91786496842,100143.637743364
2025-02-06,24487.981968174925,46786.725093804765,98880.91389330443
2025-02-07,24498.66492431411,46651.27051301417,97672.18007505215
2025-02-08,24495.16533556817,46568.25128268729,96402.95676142625
